-- Logs begin at Thu 2019-09-26 08:24:48 UTC, end at Fri 2019-09-27 21:54:05 UTC. --
Sep 27 21:32:08 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:32:08.941054 W | wal: sync duration of 1.686803914s, expected less than 1s
Sep 27 21:36:46 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:36:46.005217 I | mvcc: finished scheduled compaction at 30635796 (took 8.14629ms)
Sep 27 21:36:47 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:36:47.443251 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (1.283917425s) to execute
Sep 27 21:36:47 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:36:47.443297 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.223304786s) to execute
Sep 27 21:36:47 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:36:47.443399 W | etcdserver: read-only range request "key:\"/registry/networking.istio.io/destinationrules\" range_end:\"/registry/networking.istio.io/destinationrulet\" count_only:true " with result "range_response_count:0 size:9" took too long (1.377927311s) to execute
Sep 27 21:36:47 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:36:47.443600 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/listcheckers\" range_end:\"/registry/config.istio.io/listcheckert\" count_only:true " with result "range_response_count:0 size:7" took too long (1.138316969s) to execute
Sep 27 21:36:47 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:36:47.448977 W | etcdserver: request "header:<ID:14919135698845672860 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" mod_revision:30637069 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" value_size:5886 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" > >>" with result "size:20" took too long (649.04017ms) to execute
Sep 27 21:36:47 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:36:47.466646 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-ct7zm\" " with result "range_response_count:1 size:4140" took too long (483.732494ms) to execute
Sep 27 21:36:47 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:36:47.470188 W | etcdserver: read-only range request "key:\"/registry/persistentvolumeclaims\" range_end:\"/registry/persistentvolumeclaimt\" count_only:true " with result "range_response_count:0 size:7" took too long (444.275485ms) to execute
Sep 27 21:36:47 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:36:47.470398 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:4376" took too long (179.101508ms) to execute
Sep 27 21:38:42 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:38:42.260791 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (146.211392ms) to execute
Sep 27 21:38:42 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:38:42.260970 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (199.816022ms) to execute
Sep 27 21:38:43 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:38:43.700096 W | etcdserver: request "header:<ID:14919135698845674385 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:30637484 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (161.000964ms) to execute
Sep 27 21:38:43 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:38:43.700203 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (137.474366ms) to execute
Sep 27 21:38:48 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:38:48.377172 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4755" took too long (168.620628ms) to execute
Sep 27 21:38:50 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:38:50.755475 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (356.471996ms) to execute
Sep 27 21:38:51 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:38:51.348618 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:8051" took too long (121.985664ms) to execute
Sep 27 21:38:52 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 21:38:52.813685 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (534.522143ms) to execute
