-- Logs begin at Wed 2019-09-25 21:44:06 UTC, end at Fri 2019-09-27 15:24:11 UTC. --
Sep 27 15:19:05 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:19:05.604482 W | etcdserver: request "header:<ID:14919135698845403809 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/default/backend-844b95fc6f\" mod_revision:30564237 > success:<request_put:<key:\"/registry/replicasets/default/backend-844b95fc6f\" value_size:988 >> failure:<request_range:<key:\"/registry/replicasets/default/backend-844b95fc6f\" > >>" with result "size:20" took too long (638.939607ms) to execute
Sep 27 15:19:05 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:19:05.605310 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (385.950685ms) to execute
Sep 27 15:19:42 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:19:42.319689 W | wal: sync duration of 2.003187935s, expected less than 1s
Sep 27 15:19:42 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:19:42.335549 W | etcdserver: request "header:<ID:14919135698845404075 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" mod_revision:30564308 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" value_size:5319 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" > >>" with result "size:20" took too long (2.018899124s) to execute
Sep 27 15:19:42 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:19:42.338055 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (518.839142ms) to execute
Sep 27 15:19:42 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:19:42.348177 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (274.082736ms) to execute
Sep 27 15:19:50 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:19:50.721026 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (329.240012ms) to execute
Sep 27 15:19:50 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:19:50.721178 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (343.033534ms) to execute
Sep 27 15:20:33 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:20:33.732953 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (794.445442ms) to execute
Sep 27 15:20:33 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:20:33.733092 W | etcdserver: request "header:<ID:14919135698845404517 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:30564416 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (157.589624ms) to execute
Sep 27 15:20:33 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:20:33.739638 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (178.750312ms) to execute
Sep 27 15:20:37 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:20:37.185267 W | etcdserver: read-only range request "key:\"/registry/leases\" range_end:\"/registry/leaset\" count_only:true " with result "range_response_count:0 size:7" took too long (182.84133ms) to execute
Sep 27 15:20:37 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:20:37.185831 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (262.871441ms) to execute
Sep 27 15:20:49 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:20:49.370297 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (135.05048ms) to execute
Sep 27 15:20:49 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:20:49.370702 W | etcdserver: request "header:<ID:14919135698845404664 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/masterleases/10.0.0.8\" mod_revision:30564455 > success:<request_put:<key:\"/registry/masterleases/10.0.0.8\" value_size:64 lease:5695763661990628854 >> failure:<request_range:<key:\"/registry/masterleases/10.0.0.8\" > >>" with result "size:20" took too long (131.877826ms) to execute
Sep 27 15:20:53 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:20:53.937649 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (113.260097ms) to execute
Sep 27 15:21:05 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:21:05.233193 W | etcdserver: read-only range request "key:\"/registry/deployments/default/\" range_end:\"/registry/deployments/default0\" limit:500 " with result "range_response_count:1 size:1898" took too long (114.267353ms) to execute
Sep 27 15:21:08 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:21:08.443646 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (448.923368ms) to execute
Sep 27 15:21:10 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:21:10.950763 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-njg27\" " with result "range_response_count:1 size:1854" took too long (413.548562ms) to execute
Sep 27 15:21:10 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:21:10.950916 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (497.305164ms) to execute
Sep 27 15:21:13 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:21:13.951313 W | etcdserver: request "header:<ID:14919135698845404859 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:30564509 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (156.469624ms) to execute
Sep 27 15:21:18 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:21:18.434811 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.scheduling.k8s.io\" " with result "range_response_count:1 size:659" took too long (528.205434ms) to execute
Sep 27 15:21:18 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:21:18.434877 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.authentication.k8s.io\" " with result "range_response_count:1 size:656" took too long (527.954242ms) to execute
Sep 27 15:21:18 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:21:18.434929 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (640.058478ms) to execute
Sep 27 15:21:18 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:21:18.435052 W | etcdserver: read-only range request "key:\"/registry/events\" range_end:\"/registry/eventt\" count_only:true " with result "range_response_count:0 size:10" took too long (166.340771ms) to execute
Sep 27 15:21:18 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:21:18.435117 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-operator-token-hb46f\" " with result "range_response_count:1 size:2434" took too long (700.041297ms) to execute
Sep 27 15:21:18 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:21:18.435214 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.apps\" " with result "range_response_count:1 size:619" took too long (530.162823ms) to execute
Sep 27 15:21:18 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:21:18.435279 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.certificates.k8s.io\" " with result "range_response_count:1 size:664" took too long (529.199149ms) to execute
Sep 27 15:21:18 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:21:18.435313 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (478.867373ms) to execute
Sep 27 15:21:18 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:21:18.435354 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v2beta2.autoscaling\" " with result "range_response_count:1 size:640" took too long (528.622549ms) to execute
Sep 27 15:21:31 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:21:31.521251 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (468.384241ms) to execute
Sep 27 15:21:31 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:21:31.521583 W | etcdserver: read-only range request "key:\"/registry/controllers\" range_end:\"/registry/controllert\" count_only:true " with result "range_response_count:0 size:7" took too long (883.793453ms) to execute
Sep 27 15:21:31 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:21:31.521612 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-ld5ph\" " with result "range_response_count:1 size:1855" took too long (767.649135ms) to execute
Sep 27 15:21:31 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:21:31.521706 W | etcdserver: read-only range request "key:\"/registry/rolebindings\" range_end:\"/registry/rolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (640.805731ms) to execute
Sep 27 15:21:34 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 15:21:34.472782 W | etcdserver: read-only range request "key:\"/registry/validatingwebhookconfigurations\" range_end:\"/registry/validatingwebhookconfigurationt\" count_only:true " with result "range_response_count:0 size:9" took too long (495.727397ms) to execute
