-- Logs begin at Thu 2019-12-19 23:09:25 UTC, end at Sat 2019-12-21 06:27:56 UTC. --
Dec 21 06:24:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 06:24:57.599256 W | etcdserver: read-only range request "key:\"/registry/cronjobs\" range_end:\"/registry/cronjobt\" count_only:true " with result "range_response_count:0 size:7" took too long (736.72599ms) to execute
Dec 21 06:24:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 06:24:57.600049 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (893.611025ms) to execute
Dec 21 06:24:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 06:24:57.600213 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (370.132052ms) to execute
Dec 21 06:25:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 06:25:03.437624 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-w2htl.15e24e50fd777b2d\" " with result "range_response_count:1 size:564" took too long (727.687288ms) to execute
Dec 21 06:25:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 06:25:03.438077 W | etcdserver: request "header:<ID:14919139277709207770 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:45478253 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (185.540356ms) to execute
Dec 21 06:25:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 06:25:26.125733 W | wal: sync duration of 4.169667031s, expected less than 1s
Dec 21 06:25:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 06:25:26.126298 W | etcdserver: read-only range request "key:\"/registry/secrets\" range_end:\"/registry/secrett\" count_only:true " with result "range_response_count:0 size:9" took too long (3.826054811s) to execute
Dec 21 06:25:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 06:25:26.277568 W | etcdserver: read-only range request "key:\"/registry/services/specs\" range_end:\"/registry/services/spect\" count_only:true " with result "range_response_count:0 size:9" took too long (595.255853ms) to execute
Dec 21 06:25:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 06:25:26.277638 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (1.355902531s) to execute
Dec 21 06:25:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 06:25:26.277705 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.authentication.k8s.io\" " with result "range_response_count:1 size:670" took too long (866.720973ms) to execute
Dec 21 06:25:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 06:25:26.277729 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.storage.k8s.io\" " with result "range_response_count:1 size:649" took too long (865.631661ms) to execute
Dec 21 06:25:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 06:25:26.277899 W | etcdserver: read-only range request "key:\"/registry/ingress\" range_end:\"/registry/ingrest\" count_only:true " with result "range_response_count:0 size:7" took too long (658.167819ms) to execute
Dec 21 06:25:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 06:25:26.277970 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.admissionregistration.k8s.io\" " with result "range_response_count:1 size:692" took too long (867.336893ms) to execute
Dec 21 06:25:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 06:25:26.278004 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kube-proxy-token-6ncqr\" " with result "range_response_count:1 size:2304" took too long (361.39709ms) to execute
Dec 21 06:25:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 06:25:26.278060 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (2.003573052s) to execute
Dec 21 06:25:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 06:25:26.278097 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (3.847791026s) to execute
Dec 21 06:25:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 06:25:26.278205 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1alpha1.admissionregistration.k8s.io\" " with result "range_response_count:1 size:694" took too long (866.675843ms) to execute
Dec 21 06:25:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 06:25:26.278364 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (2.312582796s) to execute
Dec 21 06:25:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 06:25:26.278413 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.scheduling.k8s.io\" " with result "range_response_count:1 size:659" took too long (867.092054ms) to execute
Dec 21 06:25:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 06:25:32.723110 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (298.807526ms) to execute
Dec 21 06:25:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 06:25:37.148056 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (105.771545ms) to execute
