-- Logs begin at Mon 2019-09-30 19:40:36 UTC, end at Wed 2019-10-02 11:57:19 UTC. --
Oct 02 11:35:19 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:35:19.936513 W | wal: sync duration of 1.511875732s, expected less than 1s
Oct 02 11:35:45 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:35:45.445716 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:5394" took too long (181.274019ms) to execute
Oct 02 11:35:45 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:35:45.446103 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4755" took too long (246.439511ms) to execute
Oct 02 11:35:50 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:35:50.858582 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (201.975483ms) to execute
Oct 02 11:35:52 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:35:51.998744 W | etcdserver: read-only range request "key:\"/registry/roles\" range_end:\"/registry/rolet\" count_only:true " with result "range_response_count:0 size:9" took too long (386.593589ms) to execute
Oct 02 11:35:52 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:35:51.998874 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:4376" took too long (405.233784ms) to execute
Oct 02 11:35:52 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:35:51.999003 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (232.45332ms) to execute
Oct 02 11:35:52 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:35:51.999154 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/statsds\" range_end:\"/registry/config.istio.io/statsdt\" count_only:true " with result "range_response_count:0 size:7" took too long (222.962071ms) to execute
Oct 02 11:35:53 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:35:53.678605 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/rbacs\" range_end:\"/registry/config.istio.io/rbact\" count_only:true " with result "range_response_count:0 size:7" took too long (272.71203ms) to execute
Oct 02 11:35:53 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:35:53.678806 W | etcdserver: request "header:<ID:14919135698849682515 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:31414581 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (272.525976ms) to execute
Oct 02 11:35:53 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:35:53.678972 W | etcdserver: read-only range request "key:\"/registry/networking.istio.io/gateways\" range_end:\"/registry/networking.istio.io/gatewayt\" count_only:true " with result "range_response_count:0 size:9" took too long (309.448614ms) to execute
Oct 02 11:35:53 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 11:35:53.679073 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (118.122104ms) to execute
