-- Logs begin at Sat 2020-02-01 12:16:18 UTC, end at Mon 2020-02-03 01:07:51 UTC. --
Feb 03 00:44:42 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-03 00:44:42.522683 W | etcdserver: read-only range request "key:\"/registry/apiextensions.k8s.io/customresourcedefinitions/serviceroles.rbac.istio.io\" " with result "range_response_count:1 size:2465" took too long (163.272974ms) to execute
Feb 03 00:44:42 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-03 00:44:42.523627 W | etcdserver: request "header:<ID:14919139277752696375 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/apiextensions.k8s.io/customresourcedefinitions/reportnothings.config.istio.io\" mod_revision:53539783 > success:<request_delete_range:<key:\"/registry/apiextensions.k8s.io/customresourcedefinitions/reportnothings.config.istio.io\" > > failure:<request_range:<key:\"/registry/apiextensions.k8s.io/customresourcedefinitions/reportnothings.config.istio.io\" > >>" with result "size:22" took too long (129.851996ms) to execute
Feb 03 00:44:42 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-03 00:44:42.524315 W | etcdserver: read-only range request "key:\"/registry/apiextensions.k8s.io/customresourcedefinitions/tracespans.config.istio.io\" " with result "range_response_count:1 size:2643" took too long (146.992032ms) to execute
Feb 03 00:44:42 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-03 00:44:42.737639 W | etcdserver: read-only range request "key:\"/registry/rbac.istio.io/servicerolebindings/\" range_end:\"/registry/rbac.istio.io/servicerolebindings0\" " with result "range_response_count:0 size:7" took too long (130.690262ms) to execute
Feb 03 00:44:42 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-03 00:44:42.737850 W | etcdserver: read-only range request "key:\"/registry/rbac.istio.io/serviceroles/\" range_end:\"/registry/rbac.istio.io/serviceroles0\" " with result "range_response_count:0 size:7" took too long (151.093636ms) to execute
Feb 03 00:44:42 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-03 00:44:42.738547 W | etcdserver: read-only range request "key:\"/registry/apiextensions.k8s.io/customresourcedefinitions/adapters.config.istio.io\" " with result "range_response_count:1 size:2429" took too long (148.520869ms) to execute
Feb 03 00:44:42 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-03 00:44:42.738628 W | etcdserver: read-only range request "key:\"/registry/apiextensions.k8s.io/customresourcedefinitions/rbacconfigs.rbac.istio.io\" " with result "range_response_count:1 size:2631" took too long (132.184281ms) to execute
Feb 03 00:44:42 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-03 00:44:42.905963 W | etcdserver: read-only range request "key:\"/registry/apiextensions.k8s.io/customresourcedefinitions/servicerolebindings.rbac.istio.io\" " with result "range_response_count:1 size:3566" took too long (131.257626ms) to execute
Feb 03 00:44:42 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-03 00:44:42.936714 W | etcdserver: read-only range request "key:\"/registry/apiextensions.k8s.io/customresourcedefinitions/instances.config.istio.io\" " with result "range_response_count:1 size:2447" took too long (160.623039ms) to execute
Feb 03 00:44:42 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-03 00:44:42.937039 W | etcdserver: read-only range request "key:\"/registry/apiextensions.k8s.io/customresourcedefinitions/serviceroles.rbac.istio.io\" " with result "range_response_count:1 size:2645" took too long (162.391116ms) to execute
